SampleLogFunc,avgLogLiso,avgLogEpkz,avgLogEiso,avgLogT90z,stdLogLiso,stdLogEpkz,stdLogEiso,stdLogT90z,atanhCorLisoEpkz,atanhCorLisoEiso,atanhCorLisoT90z,atanhCorEpkzEiso,atanhCorEpkzT90z,atanhCorEisoT90z,avgLogThresh,stdLogThresh
-6647.6975230190019,118.53260271399493,5.6575343978856267,119.54829460690620,2.5855978604189858,.25102375085001255,-.19100165907254460,.63749229501306481,-.57076102684822869E-02,.49373081393431351,1.7127308586498884,.52002516909893781,.63522094561699827,.31026554643214876,.68876868153108650,-.98265156675289878,-1.1510013130168331
-6647.7082575653021,118.54074293168243,5.6588521799249909,119.55561528159234,2.5796410209226890,.25629091475308791,-.19464119166481864,.64405769760460574,-.40558889917853688E-02,.49585387160768296,1.7211432367202482,.52023479720737398,.63055850774616706,.30244776545933749,.69060798323626449,-.98130686160907776,-1.1526861116368485
-6653.9183461940129,118.55882401255009,5.6591160213321237,119.57950150321203,2.5898081184621877,.29227826243956290,-.17700226741796893,.66238232385587292,-.16919203170054006E-02,.50737335959764951,1.6421295486041576,.49260669178544225,.63067745572981038,.31629567388997698,.70172117143508550,-.95428783732913514,-1.1645605683353879
-6647.7212980527847,118.54736391305671,5.6601173197259342,119.58652614859727,2.5963570955435653,.23913580570617254,-.18481400490158567,.62755317379760778,-.13481886635152219E-01,.48117586030211756,1.6931461782302799,.51422397375817086,.63665124992442124,.30901230470043617,.69356731937033700,-.97801658058951502,-1.1646209186233267
-6649.2172244815247,118.50505373122711,5.6566960196152989,119.51484870635647,2.5798606885922313,.26043369883206846,-.19133654685079990,.64194802154004649,-.24316286012638368E-02,.50478708715138609,1.7284105293139951,.51520439258178319,.64878993902846049,.32859834268831656,.69403490905350773,-.99376341455109563,-1.2027054209095596
-6647.6436231398511,118.55977680609543,5.6523971754691136,119.56129360617670,2.5721286659218281,.22731382881646556,-.17689113005825882,.63211793287144935,-.11971666766591739E-01,.46351374292169345,1.6538724480178670,.49861941351073397,.63396309344715385,.32488685643276077,.69924730020623260,-.99059754618464224,-1.1962472210877735
-6650.1090273373693,118.49487250371504,5.6542110386972162,119.50251414679427,2.5512403914199338,.23897093815099282,-.19747039400446584,.63055025115631580,-.60659501726047886E-02,.46185162020309023,1.7100128646102390,.51734560551305042,.63630874207529531,.34200939858998053,.69950891231831602,-.99939438521539681,-1.2082872463344527
-6649.8367127877409,118.58779576030869,5.6594622224358409,119.62963202436259,2.5918464965091546,.22855801860873071,-.17647725470655004,.61907517548094615,-.16550703748450361E-01,.48063916086984254,1.6112771861954220,.51460257680111332,.64133025976107882,.30679028845364059,.69903530312124051,-.97084141645386868,-1.2316744731834364
-6650.1713952390173,118.58761370353670,5.6597264358702928,119.62476626318272,2.5671988058519863,.24513370686243235,-.18613800457176155,.62200506328725658,-.14689006523437789E-01,.47589864896450912,1.6125239942802103,.50885159856489370,.63870953466831837,.31196833786509209,.70375382904404071,-.96882700009553735,-1.2287702078771703
-6649.1317717653183,118.58242473699212,5.6589015684164723,119.63750506969704,2.5809280730838067,.23385935790863108,-.19641313644574657,.61666234451189839,-.12445192026728762E-01,.49853475825646176,1.6398240567528946,.51563568240534052,.64323166467649107,.28459592902266956,.70615832821491586,-.97578358180346092,-1.1854993045885778
-6651.2805012140434,118.55866269244116,5.6553452245671032,119.59842655421539,2.5787777900610633,.24179151583039410,-.18879433791488034,.63212683620765731,-.15845685890887168E-01,.48068753490385602,1.6698545976182981,.53497655164055580,.63423717370275401,.27853339961927698,.72738206852109122,-.98907990142120894,-1.1439494763802798
-6647.1602370817573,118.58535401291148,5.6566148668057235,119.59756599267482,2.5980232477318754,.20353393971144512,-.18360101000609999,.61635688698033375,-.17099343002255723E-01,.46981605317744118,1.6754657898873981,.49354612869215725,.62962763668400057,.30096492389577167,.68544389560104513,-.97663526459692629,-1.1032239177524963
-6647.8952492532553,118.54705204660246,5.6494288081317849,119.55475465499595,2.6020381104359611,.18442179580775339,-.18349856315377164,.61629100136097015,-.88322107203928843E-02,.46934121613977758,1.6653010633865826,.49695267437654395,.62615644297718431,.31308083318604241,.68608584537566364,-.98835635836298374,-1.0977965277047124
-6648.8437661375710,118.56049082888269,5.6568073842297180,119.55191602745259,2.5622683072857417,.20599764200047080,-.19676730545502752,.61124270518170443,-.58821966797422756E-02,.45825710923379431,1.6460061947172486,.50213850949099581,.63357947132094916,.31992222085152283,.68933173184200081,-.97456077347564063,-1.1540694976078079
-6651.6731480077106,118.50495487826232,5.6603187877926571,119.51160355734316,2.5404140812852476,.26350311905404039,-.21652260183306082,.64538854094893239,.21044372640729586E-02,.46255414387817478,1.7467423204217096,.52309253993986971,.61411573922996088,.30858122310332686,.70047449721315358,-.97277613550181630,-1.1166306671091479
-6650.0246525788998,118.49290436792361,5.6538747422927766,119.51449534918706,2.5870892962315493,.23121947515596150,-.20111057842188995,.63515568127563626,-.15391824191956414E-02,.47430056459161957,1.7544840425180779,.54117424523972979,.62109173818717733,.28521676414690478,.70096075470652430,-.98538633095624362,-1.0652381048546318
-6653.5567573994867,118.61030832327748,5.6442788930771783,119.63546924512679,2.6513831840142696,.17085197938590679,-.16337753342571407,.60232502815359579,-.79645640656727731E-02,.50429872402698872,1.5822937215190804,.47900113929731908,.63853490334057361,.26786515774582581,.67931926023159983,-.94845797179889313,-.97230556838887727
-6652.8063487252175,118.48689591652327,5.6431799897628716,119.45848035594160,2.5497701073547385,.24449250454077526,-.21121447147179534,.64729290348800839,.16094252130147105E-01,.47795941567215855,1.6864591726909139,.51317455095157283,.61092361616731028,.30028270158635834,.70246839744003819,-.96413631181971360,-.97278564409446067
-6647.8784391565396,118.49031753178322,5.6347080374196832,119.51040089259851,2.5523324404852437,.25264100749094387,-.19347355256754278,.64079619146395450,.45687644214958429E-02,.50616179264153438,1.6361894465107947,.50977041126733080,.64589559494911275,.30531516048761126,.71450427613005529,-.97753555946036730,-1.0592818553316024
-6649.2632583709528,118.45118299597203,5.6261367120580772,119.44835848500340,2.5593536451893351,.27217884501311712,-.17493956194711308,.65978651109560704,.66791870240736429E-02,.52061158626267157,1.6714364665538395,.49817500227475531,.65850812583693996,.33108685412181038,.71132115436970222,-.99703917041326628,-1.0693873177178150
-6648.8461021902394,118.50174241105796,5.6418238568892445,119.53436855921908,2.5720048234655799,.24607048126736436,-.19684798021099811,.63072242403531142,-.20521664552449284E-02,.51866093243957534,1.7032328848260254,.52751643524950764,.65112409166292862,.29069768246882116,.69855774950450400,-.97652128085011458,-1.0572815374776068
-6651.4917236744814,118.54369330427781,5.6408951199283894,119.58004652403299,2.6090077913764977,.22517337811617430,-.17772026326682283,.60479076160485534,-.17095702954544656E-01,.52876716300128257,1.6616387257654091,.49536615631787784,.66658635252874299,.31168849226319972,.67317491242935001,-.97664212471800782,-1.0273652379267633
-6651.7036910361030,118.66059731662280,5.6601524324212287,119.69970589646395,2.6435667541874572,.17411645813775878,-.17667171008845226,.57786954332164919,-.30759980919177629E-01,.49515120369854287,1.6295826630192056,.46892510098055656,.64193087926956494,.28459958214327880,.66775181801042427,-.96081093485471714,-.99447558586504603
-6648.5084085572480,118.60231302917674,5.6478538935917975,119.66668410163152,2.6421810435819295,.19573124869298067,-.16597353405119145,.59598034924076171,-.23973692554059612E-01,.53847431975652926,1.6234330040711775,.48745311925226442,.66992299236072284,.30138540793385082,.67684855130290167,-.98657605025699313,-1.1316932583502439
-6651.9639358576205,118.50571894268938,5.6397364729469430,119.49447255447548,2.5886175474586981,.20692365145999320,-.19154969439155370,.64141961555548554,.19340414531858106E-03,.51098474947473260,1.7246016556986727,.52539998270706678,.63316403218253448,.30071282180622411,.70393169008833356,-1.0143416505982585,-1.0581837830294527
-6650.2887130535019,118.55550980039880,5.6483011622144730,119.57358271935350,2.6000635203698863,.20851746498312773,-.18592112761186116,.63895661092317657,-.18239634227311036E-01,.51824790417430644,1.7324647275433911,.54097940565174463,.63595039321689817,.28932235449756327,.71055570566375847,-1.0307065547881609,-1.1482033068855713
-6647.3480869240639,118.60566898470182,5.6619458220989483,119.62969820700569,2.6029150113943369,.22509947385954571,-.18636977399662510,.62521947989739057,-.18749525484260048E-01,.51007079855447746,1.6762839616165048,.52570074568291725,.64121239887220316,.28708267990172470,.70696550186965956,-1.0035490288880453,-1.2187522093454366
-6650.5328695662729,118.65112677149997,5.6766292475916931,119.64012398349354,2.5833764847704321,.20148652613311055,-.21075432533143756,.61851241419990100,-.14426033697189176E-01,.45636561725995362,1.6788171631166762,.53462197255214194,.59457156893225016,.27106639839147195,.70243257119451130,-.97202378428322012,-1.1504925157432138
-6651.4065069920098,118.62534743830801,5.6656534115002160,119.63478996750027,2.6233057658386763,.14580819192183225,-.19898194555497503,.60013829519977735,-.14956625119967046E-01,.47630940977744218,1.6637262134060127,.54123402944506827,.61274823205003015,.26123235799536987,.70407691467669886,-1.0025300731524605,-1.1551089130848118
-6649.8985716155885,118.61604851212830,5.6783026478595895,119.63775799946370,2.5977432477393592,.19065190395632048,-.22099865752363793,.61008071567129807,-.99306753733678366E-02,.45729974691308894,1.6872407599784138,.53380628569791833,.59478082758092898,.26619334208285483,.71054248868921011,-.98667850681234581,-1.1632774219668776
-6650.9949120686861,118.65419053095457,5.6746797459928002,119.67822420252385,2.6226598450016620,.18531014200008220,-.20510263178439200,.60515211152618564,-.82244202534379942E-02,.47854717484608111,1.6313045504820725,.50935655911085365,.60269683504355687,.26037797769184612,.70057471276113048,-.96913705844997999,-1.1229200117955485
-6653.2382321783434,118.60904358353805,5.6380429079832624,119.70430560654256,2.6663511559314377,.14280877147591386,-.15670406172471241,.55933510640242123,-.27141209821004729E-01,.52658171668739695,1.5246968010589592,.48526775217322032,.67885826862832754,.28173730434922906,.69424383717638449,-1.0007841672213094,-1.1104009833809034
-6651.7360217392343,118.53186178261429,5.6358616198964668,119.61094322659306,2.5904265771862507,.20918949476881435,-.19012066939557759,.59756920827988413,-.11678961664982626E-01,.54103159343468321,1.6253446435434267,.51540586203167071,.67499778684330924,.29283933088205100,.71214664265827787,-1.0218119396502969,-1.1526290693290533
-6649.1425191192438,118.52004178595412,5.6215225712667083,119.57171843250842,2.5545140176104315,.27550425764472919,-.15650810808149213,.63021770001261668,-.16960655935403413E-01,.52469031816335809,1.5448228153663346,.49764969173224749,.68336613212291086,.32669853103181973,.72877558636976114,-1.0055517887424694,-1.1637030359284557
-6649.6157218406188,118.52575715996061,5.6245397905497683,119.56644615245641,2.5686812397228507,.26951588723133091,-.17686391364582676,.62989469709095292,-.36022137616592946E-02,.55204630863516646,1.5802224898762047,.49806714258146728,.67395856578060431,.29405136707746610,.71682045958865892,-.98667393630375833,-1.0409234084785750
-6649.0241395119201,118.53798932225108,5.6316266400271759,119.58726564026371,2.5661647701665342,.25654655439751001,-.17417244466893356,.62039984856857533,-.65288432472227721E-02,.52727914457109148,1.5523611583922841,.50595530628326879,.67839129459433756,.29090996532806468,.72256207141509521,-.99117420640734200,-1.1575793643516721
-6648.7192842048480,118.60056589490779,5.6482538523336219,119.63792011856535,2.5791726133582227,.22713026450525878,-.18536193367096124,.61003253650161926,-.12475025360201205E-01,.51422951174872289,1.5996420383162080,.51776817368971118,.65931170334279343,.26794216564491224,.70705418334586068,-.98981434192167761,-1.1428548540043664
