Title: GRB Formation Rate inferred from the Spectral Peak Energy - Peak 
       Luminosity Relation  
Authors: Yonetoku D., Murakami T., Nakamura T., Yamazaki R., Inoue A.K., 
         Ioka K. 
Table: Redshifts and luminosities estimated by E_p_-L relation
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     Num    Trigger number 
   6- 11 F6.1   keV     Ep     Spectral peak energy  
  13- 17 F5.1   keV   E_Ep     Upper limit error in Ep 
  19- 23 F5.1   keV   e_Ep     Lower limit error in Ep
  25- 29 F5.2   ---     z      Redshift    
  31- 34 F4.2   ---   E_z      Upper limit error in z     
  36- 40 F5.2   ---   e_z      Lower limit error in z
  42- 48 E7.2   10-7W   Lum    Luminosity in units of erg/s 
  50- 59 E10.2  10-7W E_Lum    Upper limit error in Lum
  61- 69 E9.2   10-7W e_Lum    Lower limit error in Lum
--------------------------------------------------------------------------------
1197   92.3  39.8  32.6  3.70 2.42  6.25 4.43E52    4.09E52  39.50E52
1200   90.1  11.6  18.3  3.98 1.11  3.01 4.72E52    2.56E52  12.91E52
1218  116.1   5.0   5.0 11.11 1.98  2.64 4.64E53    1.67E53   2.85E53
1235  122.1   9.9  11.5  2.25 0.32  0.44 3.70E52    1.17E52   2.02E52
1244   30.7  23.9  39.0  0.85 0.69  2.47 7.55E50    7.40E50 204.68E50
1288  354.7  22.8  24.3  9.29 2.13  3.34 3.13E54    1.41E54   3.14E54
1303  195.5  52.9  31.6 11.00 7.21 16.12 1.29E54    1.18E54   8.27E54
1384  103.5  20.7  15.1  8.14 4.13  7.34 2.10E53    1.70E53   6.87E53
1396  105.9  24.3  23.5  4.05 1.78  3.53 6.70E52    5.04E52  22.19E52
1406  106.9  13.4  10.8  1.91 0.39  0.37 2.28E52    0.97E52   1.23E52
1416  104.3  28.7  32.4  2.96 1.34  3.15 4.00E52    3.08E52  18.13E52
1419  145.6  27.3  32.5  2.31 0.71  1.27 5.46E52    3.24E52  10.19E52
1425  185.9   8.9   9.3  2.19 0.19  0.21 8.23E52    1.63E52   2.11E52
1432   62.3  16.0  22.5  2.91 1.25  3.88 1.39E52    1.04E52   8.85E52
1440  271.2   6.5   6.7  2.52 0.12  0.13 2.14E53    0.24E53   0.28E53
1443  163.3  25.1  29.0  3.47 1.06  1.95 1.25E53    0.73E53   2.32E53
1467  140.8  30.3  47.6  2.33 0.81  2.25 5.15E52    3.34E52  20.77E52
1472  142.7  19.5  21.7  9.64 4.04 10.99 5.41E53    3.86E53  24.24E53
1533  149.9  23.2  25.3  3.28 0.98  1.65 9.68E52    5.57E52  15.70E52
1540  112.7  20.5  16.8  7.54 3.51  6.53 2.17E53    1.67E53   6.76E53
1541   39.8  15.5  48.8  0.18 0.07  0.26 5.17E50    3.47E50  33.14E50
1574   98.5   7.2  20.7  6.92 1.54  9.62 1.43E53    0.63E53   8.83E53
1578  179.8   8.9   9.4  3.75 0.43  0.54 1.71E53    0.43E53   0.64E53
1579  314.0  88.5 169.9  2.11 0.89  3.90 2.24E53    1.65E53  24.82E53
1614  144.8  35.7  31.7  7.56 4.26 12.58 3.60E53    3.09E53  29.05E53
1625  580.6   8.2   8.4  2.20 0.06  0.06 8.10E53    0.51E53   0.56E53
1626  157.7  29.8  36.7  7.45 3.54 13.67 4.16E53    3.24E53  39.19E53
1628  133.1  50.0  44.2  5.33 3.49 13.01 1.67E53    1.54E53  25.92E53
1651   56.3  24.8  17.7  0.54 0.26  0.21 1.75E51    1.37E51   2.17E51
1652  184.8   7.3   7.6  2.95 0.24  0.28 1.25E53    0.23E53   0.30E53
1660   90.4  18.9  33.4  2.00 0.64  1.91 1.72E52    1.06E52   6.92E52
1663  448.7   8.3   8.9  2.78 0.11  0.12 6.74E53    0.61E53   0.72E53
1683  353.2  16.2  17.1 11.69 2.26  3.26 4.71E54    1.81E54   3.47E54
1709  204.6   5.5   5.6  2.00 0.10  0.10 8.83E52    0.99E52   1.13E52
1712  212.3  21.5  23.1 10.31 3.57  7.46 1.35E54    0.84E54   3.23E54
1717  166.4  14.0  15.7  4.48 0.91  1.39 1.95E53    0.81E53   1.72E53
1734   90.0  20.3  22.2  3.81 1.63  3.66 4.40E52    3.24E52  16.84E52
1807  149.6  21.5  14.9  4.11 1.27  1.28 1.37E53    0.81E53   1.22E53
1815  201.1  20.8  24.8  3.21 0.68  1.08 1.68E53    0.73E53   1.67E53
1883  211.6  10.2  10.6  3.25 0.34  0.40 1.90E53    0.44E53   0.61E53
